2024-09-30T17:11:54-04:00
Running ./build/run_benchmark
Run on (8 X 3592.16 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.36, 0.90, 1.16
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
BM_gao_additive_fft_lvl1/20_stddev            8633 us         8627 us          100 items_per_second=8.06244m/s
BM_gao_additive_fft_lvl1/20_cv                0.83 %          0.83 %           100 items_per_second=0.84%
BM_gao_additive_fft_lvl2/5_mean               3.81 us         3.81 us          100 items_per_second=262.568k/s
BM_gao_additive_fft_lvl2/5_median             3.76 us         3.76 us          100 items_per_second=266.298k/s
BM_gao_additive_fft_lvl2/5_stddev            0.083 us        0.083 us          100 items_per_second=5.60379k/s
BM_gao_additive_fft_lvl2/5_cv                 2.17 %          2.17 %           100 items_per_second=2.13%
BM_gao_additive_fft_lvl2/6_mean               9.51 us         9.51 us          100 items_per_second=105.138k/s
BM_gao_additive_fft_lvl2/6_median             9.52 us         9.52 us          100 items_per_second=105.07k/s
BM_gao_additive_fft_lvl2/6_stddev            0.042 us        0.042 us          100 items_per_second=467.297/s
BM_gao_additive_fft_lvl2/6_cv                 0.44 %          0.44 %           100 items_per_second=0.44%
BM_gao_additive_fft_lvl2/7_mean               22.4 us         22.4 us          100 items_per_second=44.6332k/s
BM_gao_additive_fft_lvl2/7_median             22.4 us         22.4 us          100 items_per_second=44.69k/s
BM_gao_additive_fft_lvl2/7_stddev            0.163 us        0.163 us          100 items_per_second=320.196/s
BM_gao_additive_fft_lvl2/7_cv                 0.73 %          0.73 %           100 items_per_second=0.72%
BM_gao_additive_fft_lvl2/8_mean               52.2 us         52.2 us          100 items_per_second=19.1656k/s
BM_gao_additive_fft_lvl2/8_median             52.2 us         52.2 us          100 items_per_second=19.1611k/s
BM_gao_additive_fft_lvl2/8_stddev            0.172 us        0.172 us          100 items_per_second=63.1552/s
BM_gao_additive_fft_lvl2/8_cv                 0.33 %          0.33 %           100 items_per_second=0.33%
BM_gao_additive_fft_lvl2/9_mean                120 us          120 us          100 items_per_second=8.30336k/s
BM_gao_additive_fft_lvl2/9_median              120 us          120 us          100 items_per_second=8.31488k/s
BM_gao_additive_fft_lvl2/9_stddev            0.940 us        0.940 us          100 items_per_second=64.9954/s
BM_gao_additive_fft_lvl2/9_cv                 0.78 %          0.78 %           100 items_per_second=0.78%
BM_gao_additive_fft_lvl2/10_mean               270 us          270 us          100 items_per_second=3.69708k/s
BM_gao_additive_fft_lvl2/10_median             270 us          270 us          100 items_per_second=3.69908k/s
BM_gao_additive_fft_lvl2/10_stddev            1.57 us         1.57 us          100 items_per_second=21.6182/s
BM_gao_additive_fft_lvl2/10_cv                0.58 %          0.58 %           100 items_per_second=0.58%
BM_gao_additive_fft_lvl2/11_mean               608 us          608 us          100 items_per_second=1.64524k/s
BM_gao_additive_fft_lvl2/11_median             608 us          608 us          100 items_per_second=1.64347k/s
BM_gao_additive_fft_lvl2/11_stddev            8.68 us         8.68 us          100 items_per_second=23.425/s
BM_gao_additive_fft_lvl2/11_cv                1.43 %          1.43 %           100 items_per_second=1.42%
BM_gao_additive_fft_lvl2/12_mean              1354 us         1354 us          100 items_per_second=738.409/s
BM_gao_additive_fft_lvl2/12_median            1363 us         1363 us          100 items_per_second=733.431/s
BM_gao_additive_fft_lvl2/12_stddev            16.8 us         16.8 us          100 items_per_second=9.17078/s
BM_gao_additive_fft_lvl2/12_cv                1.24 %          1.24 %           100 items_per_second=1.24%
BM_gao_additive_fft_lvl2/13_mean              3035 us         3034 us          100 items_per_second=329.663/s
BM_gao_additive_fft_lvl2/13_median            3037 us         3037 us          100 items_per_second=329.228/s
BM_gao_additive_fft_lvl2/13_stddev            56.7 us         56.7 us          100 items_per_second=6.17164/s
BM_gao_additive_fft_lvl2/13_cv                1.87 %          1.87 %           100 items_per_second=1.87%
BM_gao_additive_fft_lvl2/14_mean              6784 us         6783 us          100 items_per_second=147.471/s
BM_gao_additive_fft_lvl2/14_median            6775 us         6774 us          100 items_per_second=147.62/s
BM_gao_additive_fft_lvl2/14_stddev             128 us          128 us          100 items_per_second=2.79562/s
BM_gao_additive_fft_lvl2/14_cv                1.89 %          1.89 %           100 items_per_second=1.90%
BM_gao_additive_fft_lvl2/15_mean             14860 us        14859 us          100 items_per_second=67.322/s
BM_gao_additive_fft_lvl2/15_median           14843 us        14842 us          100 items_per_second=67.3767/s
BM_gao_additive_fft_lvl2/15_stddev             283 us          283 us          100 items_per_second=1.28577/s
BM_gao_additive_fft_lvl2/15_cv                1.90 %          1.90 %           100 items_per_second=1.91%
BM_gao_additive_fft_lvl2/16_mean             32286 us        32284 us          100 items_per_second=30.9874/s
BM_gao_additive_fft_lvl2/16_median           32264 us        32262 us          100 items_per_second=30.9965/s
BM_gao_additive_fft_lvl2/16_stddev             647 us          647 us          100 items_per_second=0.622581/s
BM_gao_additive_fft_lvl2/16_cv                2.00 %          2.00 %           100 items_per_second=2.01%
BM_gao_additive_fft_lvl2/17_mean             70338 us        70333 us          100 items_per_second=14.224/s
BM_gao_additive_fft_lvl2/17_median           70251 us        70245 us          100 items_per_second=14.2358/s
BM_gao_additive_fft_lvl2/17_stddev            1431 us         1432 us          100 items_per_second=0.290123/s
BM_gao_additive_fft_lvl2/17_cv                2.04 %          2.04 %           100 items_per_second=2.04%
BM_gao_additive_fft_lvl2/18_mean            168119 us       168108 us          100 items_per_second=5.94968/s
BM_gao_additive_fft_lvl2/18_median          167805 us       167789 us          100 items_per_second=5.95987/s
BM_gao_additive_fft_lvl2/18_stddev            2312 us         2311 us          100 items_per_second=0.0818621/s
BM_gao_additive_fft_lvl2/18_cv                1.38 %          1.37 %           100 items_per_second=1.38%
BM_gao_additive_fft_lvl2/19_mean            442651 us       442617 us          100 items_per_second=2.26182/s
BM_gao_additive_fft_lvl2/19_median          439811 us       439777 us          100 items_per_second=2.27388/s
BM_gao_additive_fft_lvl2/19_stddev           15598 us        15599 us          100 items_per_second=0.0728398/s
BM_gao_additive_fft_lvl2/19_cv                3.52 %          3.52 %           100 items_per_second=3.22%
BM_gao_additive_fft_lvl2/20_mean           1059538 us      1059452 us          100 items_per_second=0.943907/s
BM_gao_additive_fft_lvl2/20_median         1056957 us      1056858 us          100 items_per_second=0.946201/s
BM_gao_additive_fft_lvl2/20_stddev            5227 us         5221 us          100 items_per_second=4.6304m/s
BM_gao_additive_fft_lvl2/20_cv                0.49 %          0.49 %           100 items_per_second=0.49%
BM_gao_additive_fft_co/5_mean                 2.27 us         2.27 us          100 items_per_second=441.377k/s
BM_gao_additive_fft_co/5_median               2.27 us         2.27 us          100 items_per_second=441.395k/s
BM_gao_additive_fft_co/5_stddev              0.001 us        0.001 us          100 items_per_second=266.604/s
BM_gao_additive_fft_co/5_cv                   0.06 %          0.06 %           100 items_per_second=0.06%
BM_gao_additive_fft_co/6_mean                 5.01 us         5.01 us          100 items_per_second=199.491k/s
BM_gao_additive_fft_co/6_median               5.01 us         5.01 us          100 items_per_second=199.628k/s
BM_gao_additive_fft_co/6_stddev              0.025 us        0.025 us          100 items_per_second=970.958/s
BM_gao_additive_fft_co/6_cv                   0.50 %          0.50 %           100 items_per_second=0.49%
BM_gao_additive_fft_co/7_mean                 11.5 us         11.5 us          100 items_per_second=86.7777k/s
